Nazwa,Odcinek,Szerokość_geo,Długość_geo,Uwagi
Mokobody,Górny bieg,52.2653,22.1119,Okolice górnego biegu Liwca
Pruszyn,Górny bieg,52.2900,22.0500,Wieś nad Liwcem
Wyszków Węgrowski,Górny bieg,52.3200,22.0100,Wieś w gminie Liw
Grodzisk,Górny bieg,52.3350,21.9950,Historyczna osada przy Liwcu
Jarnice,Środkowy bieg,52.3579,21.9854,Piękna Sowia Góra z widokiem na dolinę Liwca
Liw,Środkowy bieg,52.3735,21.9700,Średniowieczny zamek tuż nad rzeką
Węgrów,Środkowy bieg,52.3992,22.0164,Miasto nad Liwcem – dobra infrastruktura
Zawiszyn,Środkowy bieg,52.4300,21.9700,Tu rzeka zaczyna silnie meandrować
Starawieś,Środkowy bieg,52.4559,21.9481,Spokojna wieś nad Liwcem
Sekłak,Środkowy bieg,52.4600,21.9100,Wieś przy Liwcu
Borzychy,Środkowy bieg,52.4650,21.8900,Wioska Indiańska i Zwierzyniec Eurostruś w pobliżu
Paplin,Środkowy bieg,52.4722,21.8689,Młyn hybrydowy na Liwcu
Wólka Paplińska,Środkowy bieg,52.4750,21.8500,Przysiółek przy Liwcu
Kalinowiec,Środkowy bieg,52.4900,21.8100,Mała elektrownia wodna na rzece
Łochów,Dolny bieg,52.5307,21.6818,Większe miasto – dobry dojazd z Warszawy
Barchów,Dolny bieg,52.5166,21.6533,Piaszczyste plaże nad Liwcem
Urle,Dolny bieg,52.5145,21.6231,Stacja kolejowa – popularny cel weekendowy
Starowola,Dolny bieg,52.5200,21.6000,Plaża nad Liwcem
Pogorzelec,Dolny bieg,52.5500,21.5800,Wieś przy dolnym biegu
Świniotop,Dolny bieg,52.5700,21.5600,Dolny bieg – dzika przyroda
Nadkole,Dolny bieg,52.5850,21.5500,Obszar Natura 2000
Loretto,Dolny bieg,52.5731,21.5811,Wieś nad Liwcem w gminie Wyszków
Kamieńczyk,Ujście,52.6023,21.5407,Ujście Liwca do Bugu – prywatne muzeum rzeki
Brańszczyk,Ujście,52.6282,21.5849,Wieś przy ujściu Liwca do Bugu
